id,classe,inizio,fine
16,4,8,131
16,1,64,91
16,2,66,128
16,3,129,185
16,4,154,235
16,3,191,316
16,1,306,345
16,2,367,413
16,3,417,560
16,4,463,617
16,1,673,708
16,1,731,746
16,1,935,946
16,1,976,988
16,2,1042,1101
16,3,1080,1269
16,1,1101,1113
16,4,1164,1332
16,1,1252,1264
16,1,1332,1378
16,1,1422,1455
16,4,1436,1592
16,1,1479,1511
16,1,1571,1586
16,2,1594,1641
16,1,1617,1628
16,3,1641,1861
16,4,1676,1726
16,1,1942,1985
16,1,2000,2067
16,1,2095,2124
16,2,2147,2188
16,3,2181,2353
16,4,2184,2307
16,1,2416,2437
16,2,2454,2506
16,1,2455,2485
16,3,2492,2878
16,1,2875,2951
16,1,2999,3130
16,1,3167,3200
16,2,3217,3281
16,1,3218,3266
16,1,3285,3329
16,1,3340,3415
16,1,3432,3460
16,2,3448,3490
16,3,3489,3692
16,1,3537,3564
16,1,3772,3951
16,4,3861,3961
16,2,3913,3959
16,3,3938,4203
16,4,4010,4125
16,1,4197,4220
16,1,4263,4329
16,1,4409,4460
16,1,4482,4510
16,2,4503,4557
16,3,4546,4807
16,1,4569,4596
16,4,4582,4708
16,1,4858,4924
16,1,4938,4970
16,1,4982,5021
16,2,5009,5059
16,3,5065,5353
16,4,5285,5400
16,2,5365,5413
16,3,5400,5672
16,1,5501,5524
16,1,5547,5567
16,1,5679,5692
16,2,5696,5746
16,3,5731,6063
16,4,5754,5998
16,3,6063,6175
16,3,6537,6723
16,4,6541,6873
16,1,6713,6742
16,2,6812,6876
16,3,6879,7259
16,1,7089,7134
16,2,7242,7315
16,3,7317,7433
16,4,7839,7954
16,1,7849,7928
