id,classe,inizio,fine
19,4,68,225
19,1,81,101
19,1,109,146
19,1,173,198
19,1,210,368
19,1,410,451
19,1,490,521
19,1,973,1001
19,1,1121,1138
19,1,1166,1189
19,2,1181,1245
19,3,1230,1464
19,2,1540,1585
19,3,1603,1779
19,1,1624,1684
19,1,1693,1801
19,1,1818,1963
19,1,1984,2042
19,1,2062,2213
19,1,2230,2363
19,1,2388,2591
19,2,2571,2624
19,3,2619,2753
19,2,2718,2770
19,1,2947,3060
19,2,3064,3122
19,3,3108,3317
19,1,3178,3206
19,1,3240,3266
19,4,3315,3468
19,1,3322,3349
19,1,3369,3555
19,1,3567,3687
19,1,3710,3834
19,1,3843,3920
19,2,3906,3968
19,3,3958,4134
19,1,4250,4337
19,4,4274,4533
19,1,4497,4552
19,2,4532,4591
19,3,4585,4777
19,2,4852,4918
19,1,4956,4977
19,1,5158,5286
19,1,5292,5306
19,2,5334,5379
19,3,5378,5539
19,1,5656,5694
19,1,5717,5818
19,2,5807,5864
19,3,5853,6229
19,1,5910,5936
19,2,5984,6039
19,1,6156,6176
19,1,6235,6457
19,4,6237,6484
19,2,6439,6503
19,1,6565,6650
19,1,6666,6734
19,1,6747,7026
19,1,7044,7211
19,1,7221,7329
19,1,7357,7479
19,1,7490,7600
19,4,7531,7664
19,1,7608,7656
19,1,7680,7728
19,1,7745,7791
19,1,7801,8001
19,2,8004,8078
19,3,8044,8219
19,1,8137,8211
19,2,8215,8280
19,1,8220,8234
19,3,8280,8465
19,1,8291,8361
19,1,8374,8394
19,1,8417,8519
19,1,8528,8722
19,4,8619,8760
19,2,8713,8785
19,3,8739,8913
19,1,9005,9121
19,1,9133,9249
19,2,9258,9325
19,3,9326,9466
19,1,9353,9426
19,1,9465,9558
19,2,9575,9631
19,3,9613,9885
19,2,9731,9787
19,1,9955,10080
19,2,10125,10196
19,3,10165,10283
19,1,10196,10252
19,1,10287,10341
19,1,10359,10472
19,2,10435,10496
19,3,10485,10689
19,1,10524,10570
19,1,10707,10846
19,4,10769,10898
19,2,10837,10897
19,3,10868,11039
19,2,11045,11093
19,3,11077,11212
19,4,11226,11715
19,1,11229,11672
19,2,11689,11760
19,3,11738,11894
19,1,11788,12037
19,4,11856,12035
19,2,12023,12080
19,3,12060,12195
19,1,12137,12212
19,2,12181,12264
19,3,12243,12395
19,1,12332,12382
19,1,12406,13052
19,2,13084,13143
19,3,13130,13229
19,2,13223,13277
19,3,13258,13436
19,1,13291,13319
19,1,13338,13371
19,2,13484,13539
19,3,13522,13638
19,2,13597,13651
19,3,13668,13848
19,1,13815,13921
19,2,13910,13972
19,3,13956,14243
19,2,14090,14148
19,1,14208,14556
19,1,14571,14699
19,1,14704,14878
19,4,14808,14979
19,1,14888,15086
19,4,14993,15195
19,2,15080,15140
19,1,15094,15254
19,3,15136,15274
19,4,15223,15302
19,2,15240,15306
19,3,15307,15389
19,2,15445,15495
19,3,15485,15610
19,1,15694,15802
19,4,15695,15905
19,1,15966,16072
19,4,16068,16198
19,1,16186,16247
19,1,16365,16395
