id,classe,inizio,fine
2,4,59,281
2,1,96,123
2,1,411,496
2,4,456,527
2,1,517,664
2,1,750,784
2,1,830,860
2,2,840,896
2,3,895,1074
2,1,896,904
2,1,932,961
2,1,1009,1115
2,1,1185,1295
2,1,1360,1390
2,1,1403,1478
2,1,1496,1548
2,4,1501,2006
2,1,1560,1601
2,1,1614,1669
2,1,1673,1758
2,1,1780,1801
2,1,1905,2000
2,2,1968,2044
2,3,2036,2355
2,1,2252,2269
2,1,2285,2389
2,1,2406,2465
2,1,2684,2728
2,1,2743,2809
2,1,2825,2867
2,1,2877,2907
2,1,2937,3006
2,2,2989,3045
2,3,3041,3279
2,1,3098,3150
2,1,3182,3216
2,4,3183,3371
2,1,3241,3300
2,1,3400,3426
2,1,3443,3544
2,1,3561,3619
2,1,3638,3675
2,1,3696,3735
2,1,3744,3791
2,1,3799,3812
2,1,3879,3894
2,1,3946,3993
2,4,3987,4228
2,1,4018,4088
2,1,4238,4322
2,1,4351,4453
2,4,4445,4665
2,1,4489,4535
2,1,4629,4663
2,2,4655,4723
2,3,4715,5014
2,1,4947,4966
2,1,4971,5034
2,1,5087,5130
2,2,5319,5431
2,3,5430,5905
2,1,5879,5888
2,2,5895,5948
2,1,5926,5951
2,3,5939,6602
2,1,5987,6002
2,1,6216,6228
2,1,6550,6593
2,1,6619,6642
2,1,6682,6743
2,2,6722,6794
2,3,6792,6967
2,1,6954,6966
2,3,7007,7460
2,4,7435,7688
2,1,7734,7866
2,1,7894,7929
2,2,7956,8019
2,3,8017,8294
2,1,8427,8478
2,1,8486,8531
2,2,8522,8580
2,4,8606,8732
2,3,8615,8838
2,4,8926,9465
2,1,9033,9068
2,1,9209,9249
2,1,9301,9335
2,2,9459,9515
2,3,9526,9810
2,1,9668,9739
2,1,9771,9800
2,1,9886,9932
2,1,10055,10139
2,1,10289,10356
2,1,10367,10411
2,2,10479,10536
2,3,10513,10880
2,4,10824,10935
2,3,10952,11222
2,2,11126,11198
2,1,11238,11313
2,3,11240,11457
2,1,11531,11561
2,1,11573,11809
2,1,11847,11913
2,1,11920,12181
2,1,12210,12264
2,2,12245,12300
2,3,12304,12629
2,1,12368,12502
2,1,12524,12551
2,1,12556,12632
2,3,12707,12836
2,2,12805,12856
2,3,12939,13210
2,4,13199,13355
2,1,13766,13803
2,1,13865,13910
2,1,13948,14001
2,1,14034,14088
2,2,14074,14156
2,3,14198,14680
2,1,14461,14655
2,1,14661,14740
2,3,14780,14890
2,1,14897,14961
2,1,14968,15019
2,1,15022,15069
2,2,15099,15155
2,3,15187,15260
2,1,15244,15326
2,4,15259,15442
2,1,15331,15368
2,4,15581,15800
2,1,15595,15613
2,1,15627,15723
2,2,15903,15978
2,1,15955,16060
2,3,15988,16237
2,4,16175,16417
2,3,16319,16873
2,1,16491,16523
2,4,16776,16923
2,1,16850,17105
2,4,16936,17065
2,3,17123,17208
2,1,17214,17317
2,1,17444,17517
2,1,17593,17716
2,4,17623,18042
2,1,17809,17866
2,4,18068,18179
2,3,18195,18431
2,1,18277,18347
2,3,18504,18816
2,1,18797,18993
2,4,19063,19248
2,2,19108,19186
2,3,19203,19386
2,1,19791,19810
2,1,20021,20101
2,1,20287,20389
2,4,20298,20384
2,4,20450,20506
2,1,20502,20534
2,3,20504,20830
2,2,20836,20882
2,3,20883,21017
2,2,21006,21049
2,3,21075,21237
2,1,21156,21271
2,1,21307,21355
2,1,21386,21416
2,3,21443,21657
2,2,21717,21781
2,3,21805,21928
2,2,21969,22034
2,3,22015,22179
2,1,22024,22240
2,2,22330,22393
2,3,22403,22508
2,1,22462,22621
2,1,22637,22656
2,3,22684,22920
2,4,22818,22911
2,3,22973,23065
2,2,23038,23084
2,3,23120,23171
