id,classe,inizio,fine
15,1,117,140
15,2,123,169
15,3,174,220
15,1,196,283
15,4,257,334
15,2,351,392
15,1,362,372
15,3,392,443
15,1,447,470
15,1,489,510
15,1,575,615
15,2,578,639
15,3,640,725
15,1,760,778
15,1,789,810
15,1,1131,1165
15,4,1193,1307
15,1,1198,1242
15,1,1266,1308
15,2,1287,1325
15,3,1322,1418
15,1,1404,1419
15,1,1525,1543
15,2,1526,1570
15,3,1529,1617
15,1,1667,1712
15,2,1688,1734
15,3,1726,1804
15,1,1751,1832
15,4,1764,1939
15,1,1856,1919
15,2,1922,1964
15,3,1971,2062
15,2,2093,2133
15,3,2124,2181
15,1,2150,2177
15,4,2153,2252
15,1,2209,2235
15,1,2266,2295
15,2,2299,2346
15,3,2339,2398
15,2,2475,2519
15,3,2516,2614
15,1,2585,2738
15,4,2682,2747
15,2,2718,2770
15,3,2734,2825
15,1,2794,2854
15,4,2806,2878
15,1,2951,2988
15,2,2998,3053
15,3,3034,3141
15,1,3167,3200
15,3,3260,3352
15,2,3360,3397
15,3,3403,3467
15,1,3471,3529
15,1,3575,3619
15,1,3658,3729
15,2,3698,3742
15,3,3729,3806
15,2,3837,3882
15,3,3859,3933
15,2,4026,4078
15,3,4059,4140
15,1,4109,4190
15,1,4263,4329
15,2,4287,4335
15,3,4312,4400
15,1,4331,4378
15,2,4444,4500
15,3,4478,4556
15,1,4596,4641
15,2,4638,4684
15,1,4732,4858
15,2,4934,4981
15,1,4938,4970
15,3,4963,5037
15,1,5038,5074
15,2,5068,5111
15,3,5103,5166
15,1,5122,5215
15,4,5160,5298
15,2,5218,5267
15,3,5248,5304
15,1,5270,5338
15,1,5429,5490
15,4,5463,5540
15,2,5531,5573
15,1,5584,5665
15,1,5712,5826
15,2,5802,5856
15,1,5898,5918
15,1,6097,6124
15,1,6556,6605
15,1,6778,6857
15,1,6907,6944
15,1,7012,7038
15,1,7089,7217
15,4,7232,7433
15,1,7271,7407
15,1,7789,7820
