id,classe,inizio,fine
3,1,45,84
3,1,139,160
3,4,157,269
3,2,227,281
3,1,243,256
3,3,275,536
3,4,305,432
3,1,331,447
3,1,538,564
3,2,554,602
3,4,563,652
3,1,577,598
3,3,577,788
3,1,640,661
3,1,694,715
3,1,834,839
3,1,889,923
3,1,945,991
3,3,958,1150
3,2,1292,1329
3,3,1316,1655
3,1,1358,1384
3,1,1654,1732
3,2,1778,1826
3,3,1780,2569
3,1,1912,1987
3,1,2137,2156
3,2,2169,2206
3,1,2258,2327
3,1,2442,2468
3,2,2569,2614
3,3,2605,2836
3,1,2819,2829
3,1,2867,2877
3,2,2879,2927
3,3,2906,3279
3,1,2942,2985
3,1,3220,3387
3,2,3383,3461
3,3,3403,3588
3,1,3628,3791
3,2,3803,3900
3,3,3813,4415
3,1,3990,4063
3,1,4104,4138
3,2,4150,4238
3,4,4259,4450
3,1,4288,4324
3,1,4483,4656
3,2,4727,4837
3,3,4741,5062
3,1,5009,5151
3,4,5034,5229
3,3,5216,5476
3,2,5284,5387
3,1,5329,5375
3,1,5399,5512
3,4,5457,5634
3,3,5596,5848
3,1,5719,5981
3,2,5949,6064
3,3,6044,6309
3,1,6169,6392
3,4,6192,6338
3,1,6584,6923
3,2,6888,6966
3,3,6932,7234
3,4,6991,7123
3,1,7204,7309
3,3,7363,7573
3,1,7567,7664
3,4,7599,7843
3,1,7796,7948
3,3,7938,8411
3,1,8012,8065
3,2,8075,8165
3,1,8265,8405
3,1,8446,8564
3,1,8592,8684
3,2,8623,8709
3,3,8695,8877
3,1,8808,9166
3,2,8851,8945
3,3,8935,9174
3,2,9246,9341
3,3,9313,9932
3,1,9482,9589
3,2,9526,9644
3,1,9682,9892
3,1,9907,9962
3,1,9982,10393
3,2,10324,10422
3,3,10417,10810
3,1,10461,11035
3,4,10662,10870
3,1,11097,11327
3,2,11241,11369
3,3,11360,11849
3,1,11604,12207
3,4,11756,12011
3,2,11882,11980
3,3,11976,12315
3,1,12234,12464
3,2,12390,12487
3,3,12446,12857
3,1,12515,12698
3,2,12771,12872
3,3,12860,13304
3,1,12862,12951
3,1,13104,13225
3,2,13237,13341
3,1,13256,13294
3,1,13440,13525
3,1,13604,13664
3,1,13733,13756
3,1,13855,13919
