id,classe,inizio,fine
20,4,139,246
20,1,146,166
20,2,293,336
20,3,329,499
20,1,389,402
20,1,471,520
20,1,1207,1289
20,1,1317,1404
20,1,1416,1462
20,1,1475,1612
20,2,1582,1641
20,3,1636,1893
20,2,1991,2046
20,3,2034,2243
20,2,2223,2282
20,3,2286,2475
20,2,2473,2518
20,3,2513,2653
20,1,2615,2624
20,1,2659,2690
20,1,2718,2794
20,1,2814,2831
20,1,2841,2933
20,2,2929,2988
20,3,2974,3216
20,1,3073,3107
20,1,3218,3228
20,1,3300,3311
20,4,3315,3410
20,2,3386,3442
20,3,3425,3665
20,2,3636,3682
20,3,3688,3958
20,1,3940,3994
20,1,4025,4101
20,1,4111,4152
20,1,4171,4234
20,1,4250,4337
20,4,4307,4454
20,1,4339,4420
20,2,4390,4459
20,3,4445,4628
20,1,4581,4623
20,1,4649,4679
20,1,4705,4722
20,1,4739,4785
20,1,4804,4837
20,1,4846,4874
20,2,4852,4918
20,3,4892,5056
20,1,4990,5093
20,3,5078,5364
20,1,5107,5145
20,1,5312,5425
20,1,5442,5522
20,1,5552,5621
20,1,5656,5694
20,2,5683,5745
20,3,5719,6001
20,2,5984,6039
20,1,5989,6016
20,3,6015,6335
20,1,6061,6099
20,1,6115,6137
20,1,6194,6207
20,4,6364,6470
20,2,6417,6475
20,3,6454,6714
20,1,6488,6548
20,2,6712,6772
20,3,6757,7065
20,2,6807,6867
20,2,7067,7127
20,3,7122,7455
20,4,7325,7348
20,2,7448,7507
20,3,7494,7666
20,2,7676,7733
20,3,7720,7925
20,2,7925,7986
20,3,7971,8268
20,1,8011,8126
20,4,8207,8374
20,1,8243,8284
20,2,8565,8622
20,3,8592,8780
20,4,8608,8717
20,4,8755,8832
20,1,8763,8817
20,1,8837,8905
20,3,8919,9192
20,1,8932,8980
20,2,9177,9228
20,3,9229,9558
20,2,9265,9305
20,1,9559,9914
20,2,9934,10007
20,3,9990,10228
20,1,10092,10275
20,1,10359,10472
20,1,10573,10646
20,1,10665,10705
20,2,10723,10788
20,3,10767,10938
20,1,10887,10944
20,1,10970,11229
20,4,11258,11604
20,2,11265,11334
20,3,11318,11489
20,1,11443,11488
20,2,11632,11681
20,3,11669,11912
20,4,11696,11818
20,1,11701,11763
20,4,11899,12146
20,1,12039,12123
20,2,12156,12213
20,3,12196,12496
20,1,12235,12329
20,2,12543,12602
20,3,12594,12797
20,2,12783,12849
20,3,12834,13169
20,1,13061,13093
20,1,13136,13231
20,1,13261,13287
20,2,13273,13337
20,1,13372,13795
20,2,13851,13910
20,3,13894,14098
20,1,13925,13981
20,1,14001,14176
20,2,14230,14301
20,3,14289,14623
20,2,14310,14381
20,2,14610,14658
20,3,14665,15098
20,2,14748,14813
20,4,14993,15195
20,4,15249,15371
20,1,15256,15322
20,2,15295,15357
20,1,15325,15506
20,3,15355,15668
20,1,15558,15866
20,2,15664,15730
20,4,15728,15901
20,3,15737,16129
20,2,15847,15914
20,4,16063,16195
20,1,16263,16291
20,1,16323,16354
20,1,16421,16467
